code,cprompt,crawresp,task_id,prompt,model,error
"local function change_base(x, base)
    local result = ''
    while x > 0 do
        local remainder = x % base
        result = tostring(remainder) .. result
        x = math.floor(x / base)
    end
    return result
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Change numerical base of input number x to base.\n-- return string representation after the conversion.\n-- base numbers are less than 10.\n-- >>> change_base(8, 3)\n-- '22'\n-- >>> change_base(8, 2)\n-- '1000'\n-- >>> change_base(7, 2)\n-- '111'\nlocal function change_base(x, base)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""local function change_base(x, base)\\n    local result = ''\\n    while x > 0 do\\n        local remainder = x % base\\n        result = tostring(remainder) .. result\\n        x = math.floor(x / base)\\n    end\\n    return result\\nend\""\n}""
  }
]","{
    ""code"": ""local function change_base(x, base)\n    local result = ''\n    while x > 0 do\n        local remainder = x % base\n        result = tostring(remainder) .. result\n        x = math.floor(x / base)\n    end\n    return result\nend""
}",HumanEval_44_change_base,"-- Change numerical base of input number x to base.
-- return string representation after the conversion.
-- base numbers are less than 10.
-- >>> change_base(8, 3)
-- '22'
-- >>> change_base(8, 2)
-- '1000'
-- >>> change_base(7, 2)
-- '111'
local function change_base(x, base)
",Llama-3.3-70B-Instruct,
"local function triangle_area(a, h)
    if a <= 0 or h <= 0 then
        error(""Side length and height must be positive"")
    end
    return 0.5 * a * h
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Given length of a side and high return area for a triangle.\n-- >>> triangle_area(5, 3)\n-- 7.5\nlocal function triangle_area(a, h)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""local function triangle_area(a, h)\\n    if a <= 0 or h <= 0 then\\n        error(\\\""Side length and height must be positive\\\"")\\n    end\\n    return 0.5 * a * h\\nend\""}""
  }
]","{""code"": ""local function triangle_area(a, h)\n    if a <= 0 or h <= 0 then\n        error(\""Side length and height must be positive\"")\n    end\n    return 0.5 * a * h\nend""}",HumanEval_45_triangle_area,"-- Given length of a side and high return area for a triangle.
-- >>> triangle_area(5, 3)
-- 7.5
local function triangle_area(a, h)
",Llama-3.3-70B-Instruct,
"local function fib4(n)
    if n == 0 or n == 1 then return 0 end
    if n == 2 then return 2 end
    if n == 3 then return 0 end
    local a, b, c, d = 0, 0, 2, 0
    for i = 5, n do
        local sum = a + b + c + d
        a, b, c, d = b, c, d, sum
    end
    return d
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- The Fib4 number sequence is a sequence similar to the Fibbonacci sequnece that's defined as follows:\n-- fib4(0) -> 0\n-- fib4(1) -> 0\n-- fib4(2) -> 2\n-- fib4(3) -> 0\n-- fib4(n) -> fib4(n-1) + fib4(n-2) + fib4(n-3) + fib4(n-4).\n-- Please write a function to efficiently compute the n-th element of the fib4 number sequence.  Do not use recursion.\n-- >>> fib4(5)\n-- 4\n-- >>> fib4(6)\n-- 8\n-- >>> fib4(7)\n-- 14\nlocal function fib4(n)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""local function fib4(n)\\n    if n == 0 or n == 1 then return 0 end\\n    if n == 2 then return 2 end\\n    if n == 3 then return 0 end\\n    local a, b, c, d = 0, 0, 2, 0\\n    for i = 5, n do\\n        local sum = a + b + c + d\\n        a, b, c, d = b, c, d, sum\\n    end\\n    return d\\nend\""\n}""
  }
]","{
    ""code"": ""local function fib4(n)\n    if n == 0 or n == 1 then return 0 end\n    if n == 2 then return 2 end\n    if n == 3 then return 0 end\n    local a, b, c, d = 0, 0, 2, 0\n    for i = 5, n do\n        local sum = a + b + c + d\n        a, b, c, d = b, c, d, sum\n    end\n    return d\nend""
}",HumanEval_46_fib4,"-- The Fib4 number sequence is a sequence similar to the Fibbonacci sequnece that's defined as follows:
-- fib4(0) -> 0
-- fib4(1) -> 0
-- fib4(2) -> 2
-- fib4(3) -> 0
-- fib4(n) -> fib4(n-1) + fib4(n-2) + fib4(n-3) + fib4(n-4).
-- Please write a function to efficiently compute the n-th element of the fib4 number sequence.  Do not use recursion.
-- >>> fib4(5)
-- 4
-- >>> fib4(6)
-- 8
-- >>> fib4(7)
-- 14
local function fib4(n)
",Llama-3.3-70B-Instruct,
"local function median(l)
    local sorted = {}
    for _, v in pairs(l) do table.insert(sorted, v) end
    table.sort(sorted)
    local count = #sorted
    if count % 2 == 1 then return sorted[math.ceil(count / 2)] else return (sorted[count / 2] + sorted[count / 2 + 1]) / 2 end
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Return median of elements in the table l.\n-- >>> median({3, 1, 2, 4, 5})\n-- 3\n-- >>> median({-10, 4, 6, 1000, 10, 20})\n-- 15.0\nlocal function median(l)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""local function median(l)\\n    local sorted = {}\\n    for _, v in pairs(l) do table.insert(sorted, v) end\\n    table.sort(sorted)\\n    local count = #sorted\\n    if count % 2 == 1 then return sorted[math.ceil(count / 2)] else return (sorted[count / 2] + sorted[count / 2 + 1]) / 2 end\\nend\""\n}""
  }
]","{
    ""code"": ""local function median(l)\n    local sorted = {}\n    for _, v in pairs(l) do table.insert(sorted, v) end\n    table.sort(sorted)\n    local count = #sorted\n    if count % 2 == 1 then return sorted[math.ceil(count / 2)] else return (sorted[count / 2] + sorted[count / 2 + 1]) / 2 end\nend""
}",HumanEval_47_median,"-- Return median of elements in the table l.
-- >>> median({3, 1, 2, 4, 5})
-- 3
-- >>> median({-10, 4, 6, 1000, 10, 20})
-- 15.0
local function median(l)
",Llama-3.3-70B-Instruct,
"local function is_palindrome(text)
    text = text or ''
    local left = 1
    local right = #text
    while left < right do
        if text:sub(left, left) ~= text:sub(right, right) then
            return false
        end
        left = left + 1
        right = right - 1
    end
    return true
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Checks if given string is a palindrome\n-- >>> is_palindrome('')\n-- true\n-- >>> is_palindrome('aba')\n-- true\n-- >>> is_palindrome('aaaaa')\n-- true\n-- >>> is_palindrome('zbcd')\n-- false\nlocal function is_palindrome(text)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""local function is_palindrome(text)\\n    text = text or ''\\n    local left = 1\\n    local right = #text\\n    while left < right do\\n        if text:sub(left, left) ~= text:sub(right, right) then\\n            return false\\n        end\\n        left = left + 1\\n        right = right - 1\\n    end\\n    return true\\nend\""\n}""
  }
]","{
    ""code"": ""local function is_palindrome(text)\n    text = text or ''\n    local left = 1\n    local right = #text\n    while left < right do\n        if text:sub(left, left) ~= text:sub(right, right) then\n            return false\n        end\n        left = left + 1\n        right = right - 1\n    end\n    return true\nend""
}",HumanEval_48_is_palindrome,"-- Checks if given string is a palindrome
-- >>> is_palindrome('')
-- true
-- >>> is_palindrome('aba')
-- true
-- >>> is_palindrome('aaaaa')
-- true
-- >>> is_palindrome('zbcd')
-- false
local function is_palindrome(text)
",Llama-3.3-70B-Instruct,
"local function modp(n, p)
    return ((n % p) + p) % p
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Return 2^n modulo p (be aware of numerics).\n-- >>> modp(3, 5)\n-- 3\n-- >>> modp(1101, 101)\n-- 2\n-- >>> modp(0, 101)\n-- 1\n-- >>> modp(3, 11)\n-- 8\n-- >>> modp(100, 101)\n-- 1\nlocal function modp(n, p)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""local function modp(n, p)\\n    return ((n % p) + p) % p\\nend\""\n}""
  }
]","{
    ""code"": ""local function modp(n, p)\n    return ((n % p) + p) % p\nend""
}",HumanEval_49_modp,"-- Return 2^n modulo p (be aware of numerics).
-- >>> modp(3, 5)
-- 3
-- >>> modp(1101, 101)
-- 2
-- >>> modp(0, 101)
-- 1
-- >>> modp(3, 11)
-- 8
-- >>> modp(100, 101)
-- 1
local function modp(n, p)
",Llama-3.3-70B-Instruct,
"local function remove_vowels(text)
    local vowels = 'aeiouAEIOU'
    return text:gsub('['..vowels..']', '')
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- remove_vowels is a function that takes string and returns string without vowels.\n-- >>> remove_vowels('')\n-- ''\n-- >>> remove_vowels('abcdef')\n-- 'bcdf'\n-- >>> remove_vowels('aaaaa')\n-- ''\n-- >>> remove_vowels('aaBAA')\n-- 'B'\n-- >>> remove_vowels('zbcd')\n-- 'zbcd'\nlocal function remove_vowels(text)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""local function remove_vowels(text)\\n    local vowels = 'aeiouAEIOU'\\n    return text:gsub('['..vowels..']', '')\\nend\""\n}""
  }
]","{
    ""code"": ""local function remove_vowels(text)\n    local vowels = 'aeiouAEIOU'\n    return text:gsub('['..vowels..']', '')\nend""
}",HumanEval_51_remove_vowels,"-- remove_vowels is a function that takes string and returns string without vowels.
-- >>> remove_vowels('')
-- ''
-- >>> remove_vowels('abcdef')
-- 'bcdf'
-- >>> remove_vowels('aaaaa')
-- ''
-- >>> remove_vowels('aaBAA')
-- 'B'
-- >>> remove_vowels('zbcd')
-- 'zbcd'
local function remove_vowels(text)
",Llama-3.3-70B-Instruct,
"local function below_threshold(l, t)
    for _, v in pairs(l) do
        if v >= t then
            return false
        end
    end
    return true
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Return true if all numbers in the table l are below threshold t.\n-- >>> below_threshold({1, 2, 4, 10}, 100)\n-- true\n-- >>> below_threshold({1, 20, 4, 10}, 5)\n-- false\nlocal function below_threshold(l, t)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""local function below_threshold(l, t)\\n    for _, v in pairs(l) do\\n        if v >= t then\\n            return false\\n        end\\n    end\\n    return true\\nend\""\n}""
  }
]","{
    ""code"": ""local function below_threshold(l, t)\n    for _, v in pairs(l) do\n        if v >= t then\n            return false\n        end\n    end\n    return true\nend""
}",HumanEval_52_below_threshold,"-- Return true if all numbers in the table l are below threshold t.
-- >>> below_threshold({1, 2, 4, 10}, 100)
-- true
-- >>> below_threshold({1, 20, 4, 10}, 5)
-- false
local function below_threshold(l, t)
",Llama-3.3-70B-Instruct,
"local function add(x, y)
    return x + y
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Add two numbers x and y\n-- >>> add(2, 3)\n-- 5\n-- >>> add(5, 7)\n-- 12\nlocal function add(x, y)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""local function add(x, y)\\n    return x + y\\nend\""}""
  }
]","{""code"": ""local function add(x, y)\n    return x + y\nend""}",HumanEval_53_add,"-- Add two numbers x and y
-- >>> add(2, 3)
-- 5
-- >>> add(5, 7)
-- 12
local function add(x, y)
",Llama-3.3-70B-Instruct,
"local function same_chars(s0, s1)
    local chars0, chars1 = {}, {}
    for i = 1, #s0 do
        chars0[s0:sub(i, i)] = true
    end
    for i = 1, #s1 do
        chars1[s1:sub(i, i)] = true
    end
    for k in pairs(chars0) do
        if not chars1[k] then return false end
    end
    for k in pairs(chars1) do
        if not chars0[k] then return false end
    end
    return true
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Check if two words have the same characters.\n-- >>> same_chars('eabcdzzzz', 'dddzzzzzzzddeddabc')\n-- true\n-- >>> same_chars('abcd', 'dddddddabc')\n-- true\n-- >>> same_chars('dddddddabc', 'abcd')\n-- true\n-- >>> same_chars('eabcd', 'dddddddabc')\n-- false\n-- >>> same_chars('abcd', 'dddddddabce')\n-- false\n-- >>> same_chars('eabcdzzzz', 'dddzzzzzzzddddabc')\n-- false\nlocal function same_chars(s0, s1)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""local function same_chars(s0, s1)\\n    local chars0, chars1 = {}, {}\\n    for i = 1, #s0 do\\n        chars0[s0:sub(i, i)] = true\\n    end\\n    for i = 1, #s1 do\\n        chars1[s1:sub(i, i)] = true\\n    end\\n    for k in pairs(chars0) do\\n        if not chars1[k] then return false end\\n    end\\n    for k in pairs(chars1) do\\n        if not chars0[k] then return false end\\n    end\\n    return true\\nend\""}""
  }
]","{""code"": ""local function same_chars(s0, s1)\n    local chars0, chars1 = {}, {}\n    for i = 1, #s0 do\n        chars0[s0:sub(i, i)] = true\n    end\n    for i = 1, #s1 do\n        chars1[s1:sub(i, i)] = true\n    end\n    for k in pairs(chars0) do\n        if not chars1[k] then return false end\n    end\n    for k in pairs(chars1) do\n        if not chars0[k] then return false end\n    end\n    return true\nend""}",HumanEval_54_same_chars,"-- Check if two words have the same characters.
-- >>> same_chars('eabcdzzzz', 'dddzzzzzzzddeddabc')
-- true
-- >>> same_chars('abcd', 'dddddddabc')
-- true
-- >>> same_chars('dddddddabc', 'abcd')
-- true
-- >>> same_chars('eabcd', 'dddddddabc')
-- false
-- >>> same_chars('abcd', 'dddddddabce')
-- false
-- >>> same_chars('eabcdzzzz', 'dddzzzzzzzddddabc')
-- false
local function same_chars(s0, s1)
",Llama-3.3-70B-Instruct,
"local function fib(n)
    if n <= 1 then
        return n
    end
    local a, b = 0, 1
    for _ = 2, n do
        a, b = b, a + b
    end
    return b
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Return n-th Fibonacci number.\n-- >>> fib(10)\n-- 55\n-- >>> fib(1)\n-- 1\n-- >>> fib(8)\n-- 21\nlocal function fib(n)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""local function fib(n)\\n    if n <= 1 then\\n        return n\\n    end\\n    local a, b = 0, 1\\n    for _ = 2, n do\\n        a, b = b, a + b\\n    end\\n    return b\\nend\""}""
  }
]","{""code"": ""local function fib(n)\n    if n <= 1 then\n        return n\n    end\n    local a, b = 0, 1\n    for _ = 2, n do\n        a, b = b, a + b\n    end\n    return b\nend""}",HumanEval_55_fib,"-- Return n-th Fibonacci number.
-- >>> fib(10)
-- 55
-- >>> fib(1)
-- 1
-- >>> fib(8)
-- 21
local function fib(n)
",Llama-3.3-70B-Instruct,
"local function correct_bracketing(brackets)
    local stack = {}
    for i = 1, #brackets do
        local bracket = brackets:sub(i,i)
        if bracket == '<' then
            table.insert(stack, bracket)
        elseif bracket == '>' then
            if #stack == 0 then
                return false
            else
                table.remove(stack)
            end
        end
    end
    return #stack == 0
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- brackets is a string of \""<\"" and \"">\"".\n-- return true if every opening bracket has a corresponding closing bracket.\n-- >>> correct_bracketing('<')\n-- false\n-- >>> correct_bracketing('<>')\n-- true\n-- >>> correct_bracketing('<<><>>')\n-- true\n-- >>> correct_bracketing('><<>')\n-- false\nlocal function correct_bracketing(brackets)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""local function correct_bracketing(brackets)\\n    local stack = {}\\n    for i = 1, #brackets do\\n        local bracket = brackets:sub(i,i)\\n        if bracket == '<' then\\n            table.insert(stack, bracket)\\n        elseif bracket == '>' then\\n            if #stack == 0 then\\n                return false\\n            else\\n                table.remove(stack)\\n            end\\n        end\\n    end\\n    return #stack == 0\\nend\""\n}""
  }
]","{
    ""code"": ""local function correct_bracketing(brackets)\n    local stack = {}\n    for i = 1, #brackets do\n        local bracket = brackets:sub(i,i)\n        if bracket == '<' then\n            table.insert(stack, bracket)\n        elseif bracket == '>' then\n            if #stack == 0 then\n                return false\n            else\n                table.remove(stack)\n            end\n        end\n    end\n    return #stack == 0\nend""
}",HumanEval_56_correct_bracketing,"-- brackets is a string of ""<"" and "">"".
-- return true if every opening bracket has a corresponding closing bracket.
-- >>> correct_bracketing('<')
-- false
-- >>> correct_bracketing('<>')
-- true
-- >>> correct_bracketing('<<><>>')
-- true
-- >>> correct_bracketing('><<>')
-- false
local function correct_bracketing(brackets)
",Llama-3.3-70B-Instruct,
"local function monotonic(l)
    local increasing = true
    local decreasing = true
    for i = 2, #l do
        if l[i] < l[i-1] then
            increasing = false
        end
        if l[i] > l[i-1] then
            decreasing = false
        end
    end
    return increasing or decreasing
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Return true is table elements are monotonically increasing or decreasing.\n-- >>> monotonic({1, 2, 4, 20})\n-- true\n-- >>> monotonic({1, 20, 4, 10})\n-- false\n-- >>> monotonic({4, 1, 0, -10})\n-- true\nlocal function monotonic(l)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""local function monotonic(l)\\n    local increasing = true\\n    local decreasing = true\\n    for i = 2, #l do\\n        if l[i] < l[i-1] then\\n            increasing = false\\n        end\\n        if l[i] > l[i-1] then\\n            decreasing = false\\n        end\\n    end\\n    return increasing or decreasing\\nend\""\n}""
  }
]","{
    ""code"": ""local function monotonic(l)\n    local increasing = true\n    local decreasing = true\n    for i = 2, #l do\n        if l[i] < l[i-1] then\n            increasing = false\n        end\n        if l[i] > l[i-1] then\n            decreasing = false\n        end\n    end\n    return increasing or decreasing\nend""
}",HumanEval_57_monotonic,"-- Return true is table elements are monotonically increasing or decreasing.
-- >>> monotonic({1, 2, 4, 20})
-- true
-- >>> monotonic({1, 20, 4, 10})
-- false
-- >>> monotonic({4, 1, 0, -10})
-- true
local function monotonic(l)
",Llama-3.3-70B-Instruct,
"local function common(l1, l2)
    local set1, set2 = {}, {}
    for _, v in pairs(l1) do set1[v] = true end
    for _, v in pairs(l2) do set2[v] = true end
    local result = {}
    for k in pairs(set1) do
        if set2[k] then table.insert(result, k) end
    end
    table.sort(result)
    return result
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Return sorted unique common elements for two tables.\n-- >>> common({1, 4, 3, 34, 653, 2, 5}, {5, 7, 1, 5, 9, 653, 121})\n-- {1, 5, 653}\n-- >>> common({5, 3, 2, 8}, {3, 2})\n-- {2, 3}\nlocal function common(l1, l2)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""local function common(l1, l2)\\n    local set1, set2 = {}, {}\\n    for _, v in pairs(l1) do set1[v] = true end\\n    for _, v in pairs(l2) do set2[v] = true end\\n    local result = {}\\n    for k in pairs(set1) do\\n        if set2[k] then table.insert(result, k) end\\n    end\\n    table.sort(result)\\n    return result\\nend\""\n}""
  }
]","{
    ""code"": ""local function common(l1, l2)\n    local set1, set2 = {}, {}\n    for _, v in pairs(l1) do set1[v] = true end\n    for _, v in pairs(l2) do set2[v] = true end\n    local result = {}\n    for k in pairs(set1) do\n        if set2[k] then table.insert(result, k) end\n    end\n    table.sort(result)\n    return result\nend""
}",HumanEval_58_common,"-- Return sorted unique common elements for two tables.
-- >>> common({1, 4, 3, 34, 653, 2, 5}, {5, 7, 1, 5, 9, 653, 121})
-- {1, 5, 653}
-- >>> common({5, 3, 2, 8}, {3, 2})
-- {2, 3}
local function common(l1, l2)
",Llama-3.3-70B-Instruct,
