RESULT,ERROR,PROMPT,RAW_RESULT,TASK,DOMAIN_NAME,MODEL,LANGUAGE
"context SET
inv UniqueParentConstraint:
    if self.referenceOwner.oclIsTypeOf(EObjectReference) then
        self.referenceOwner.oclAsType(EObjectReference).elements->size() = 1
    else if self.referenceOwner.oclIsTypeOf(VariableReference) then
        let queryVar : QueryVariable = self.referenceOwner.oclAsType(VariableReference).referencedVariable.oclAsType(QueryVariable) in
            if queryVar.queryResult.oclIsTypeOf(EObjectReference) then
                queryVar.queryResult.oclAsType(EObjectReference).elements->size() = 1
            else
                true
            endif
    else
        true
    endif
endif",,"[
  {
    ""role"": ""user"",
    ""content"": ""Below is the domain model described in PlantUML::\n@startuml\n\n\nclass Operator {\nexecuted : EBoolean\n}\nclass CREATE {\n\n}\nclass TypeVariable {\n\n}\nclass DELETE {\n\n}\nclass ASSIGN {\nvalue : EJavaObject\n}\nclass EObjectReference {\n\n}\nclass Result {\n\n}\nclass Referrable {\n\n}\nclass PrimitiveReference {\nvalue : EJavaObject\n}\nclass SET {\n\n}\nclass VariableReference {\n\n}\nclass MOVE {\n\n}\nclass SPLIT {\n\n}\nclass StructuralFeatureSet {\n\n}\nclass MERGE {\n\n}\nclass VAR {\n\n}\nclass QueryVariable {\n\n}\nclass Variable {\nname : EString\n}\nclass QueryVariableQualifier {\n\n}\nclass EOperationQualifier {\n\n}\nclass EReferenceQualifier {\n\n}\nOperator  *--> \""result 0..1\"" Result\nOperator <|-- CREATE\nCREATE  *--> \""newInstanceVariable 1..1\"" TypeVariable\nCREATE  *--> \""parent 1..1\"" Referrable\nCREATE  --> \""parentCompositeReference 1..1\"" EReference\nVariable <|-- TypeVariable\nTypeVariable  --> \""type 1..1\"" EClass\nTypeVariable  --> \""instance 1..1\"" EObject\nOperator <|-- DELETE\nDELETE  *--> \""deletion 1..1\"" Referrable\nOperator <|-- ASSIGN\nASSIGN  --> \""attribute 1..1\"" EAttribute\nASSIGN *--> \""attributeOwner 1..1\"" Referrable\nResult <|-- EObjectReference\nReferrable <|-- EObjectReference\nEObjectReference  --> \""elements 1..*\"" EObject\nResult <|-- PrimitiveReference\nOperator <|-- SET\nSET  --> \""reference 1..1\"" EReference\nSET  *--> \""value 1..1\"" Referrable\nSET  *--> \""referenceOwner 1..1\"" Referrable\nReferrable <|-- VariableReference\nVariableReference  --> \""referencedVariable 1..1\"" Variable\nOperator <|-- MOVE\nMOVE  *--> \""newParent 1..1\"" Referrable\nMOVE  --> \""parentReference 1..1\"" EReference\nMOVE  *--> \""movee 1..1\"" Referrable\nOperator <|-- SPLIT\nSPLIT  *--> \""splitSets 1..*\"" StructuralFeatureSet\nSPLIT  *--> \""splitObject 1..1\"" Referrable\nStructuralFeatureSet  --> \""structuralFeatures 1..*\"" EStructuralFeature\nOperator <|-- MERGE\nMERGE  *--> \""mergeObjects 2..*\"" Referrable\nOperator <|-- VAR\nVAR  *--> \""variable 1..1\"" QueryVariable\nVariable <|-- QueryVariable\nQueryVariable  *--> \""queryObject 1..1\"" Referrable\nQueryVariable  --> \""queryResult 1..1\"" Result\nQueryVariable \""variable 1..1\"" *-- \""qualifier 1..1\"" QueryVariableQualifier\nQueryVariableQualifier <|-- EOperationQualifier\nEOperationQualifier  --> \""operation 1..1\"" EOperation\nQueryVariableQualifier <|-- EReferenceQualifier\nEReferenceQualifier  --> \""reference 1..1\"" EReference\n\n@enduml""
  },
  {
    ""role"": ""user"",
    ""content"": ""Code this constraint in OCL:\nIn the context of a SET, it should have a unique parent. This is validated by checking that if the reference owner of the set is an EObjectReference, it should contain exactly one element. Otherwise, if the reference owner is a VariableReference associated with a QueryVariable, whose query result is also an EObjectReference, then this result should also have exactly one element. In all other scenarios, the condition should automatically be satisfied.\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""context SET\\ninv UniqueParentConstraint:\\n    if self.referenceOwner.oclIsTypeOf(EObjectReference) then\\n        self.referenceOwner.oclAsType(EObjectReference).elements->size() = 1\\n    else if self.referenceOwner.oclIsTypeOf(VariableReference) then\\n        let queryVar : QueryVariable = self.referenceOwner.oclAsType(VariableReference).referencedVariable.oclAsType(QueryVariable) in\\n            if queryVar.queryResult.oclIsTypeOf(EObjectReference) then\\n                queryVar.queryResult.oclAsType(EObjectReference).elements->size() = 1\\n            else\\n                true\\n            endif\\n    else\\n        true\\n    endif\\nendif\""}""
  }
]","{""code"":""context SET\ninv UniqueParentConstraint:\n    if self.referenceOwner.oclIsTypeOf(EObjectReference) then\n        self.referenceOwner.oclAsType(EObjectReference).elements->size() = 1\n    else if self.referenceOwner.oclIsTypeOf(VariableReference) then\n        let queryVar : QueryVariable = self.referenceOwner.oclAsType(VariableReference).referencedVariable.oclAsType(QueryVariable) in\n            if queryVar.queryResult.oclIsTypeOf(EObjectReference) then\n                queryVar.queryResult.oclAsType(EObjectReference).elements->size() = 1\n            else\n                true\n            endif\n    else\n        true\n    endif\nendif""}",5,operators,gpt-4o,OCL
"context MOVE 
inv newParentConstraint: 

-- If `newParent` is an EObjectReference
if newParent.oclIsTypeOf(EObjectReference) then
    newParent.oclAsType(EObjectReference).elements->size() = 1
-- If `newParent` is a VariableReference pointing to a QueryVariable
else if newParent.oclIsTypeOf(VariableReference) then
    let qryVar: QueryVariable = newParent.oclAsType(VariableReference).referencedVariable in
    -- Check if `queryResult` is an EObjectReference
    if qryVar.oclIsTypeOf(QueryVariable) and qryVar.queryResult.oclIsTypeOf(EObjectReference) then
        qryVar.queryResult.oclAsType(EObjectReference).elements->size() = 1
    else
        true -- Pass the constraint check if it doesn’t match the conditions
    endif
else
    true -- Pass the constraint check if it doesn’t match the conditions
endif",,"[
  {
    ""role"": ""user"",
    ""content"": ""Below is the domain model described in PlantUML::\n@startuml\n\n\nclass Operator {\nexecuted : EBoolean\n}\nclass CREATE {\n\n}\nclass TypeVariable {\n\n}\nclass DELETE {\n\n}\nclass ASSIGN {\nvalue : EJavaObject\n}\nclass EObjectReference {\n\n}\nclass Result {\n\n}\nclass Referrable {\n\n}\nclass PrimitiveReference {\nvalue : EJavaObject\n}\nclass SET {\n\n}\nclass VariableReference {\n\n}\nclass MOVE {\n\n}\nclass SPLIT {\n\n}\nclass StructuralFeatureSet {\n\n}\nclass MERGE {\n\n}\nclass VAR {\n\n}\nclass QueryVariable {\n\n}\nclass Variable {\nname : EString\n}\nclass QueryVariableQualifier {\n\n}\nclass EOperationQualifier {\n\n}\nclass EReferenceQualifier {\n\n}\nOperator  *--> \""result 0..1\"" Result\nOperator <|-- CREATE\nCREATE  *--> \""newInstanceVariable 1..1\"" TypeVariable\nCREATE  *--> \""parent 1..1\"" Referrable\nCREATE  --> \""parentCompositeReference 1..1\"" EReference\nVariable <|-- TypeVariable\nTypeVariable  --> \""type 1..1\"" EClass\nTypeVariable  --> \""instance 1..1\"" EObject\nOperator <|-- DELETE\nDELETE  *--> \""deletion 1..1\"" Referrable\nOperator <|-- ASSIGN\nASSIGN  --> \""attribute 1..1\"" EAttribute\nASSIGN *--> \""attributeOwner 1..1\"" Referrable\nResult <|-- EObjectReference\nReferrable <|-- EObjectReference\nEObjectReference  --> \""elements 1..*\"" EObject\nResult <|-- PrimitiveReference\nOperator <|-- SET\nSET  --> \""reference 1..1\"" EReference\nSET  *--> \""value 1..1\"" Referrable\nSET  *--> \""referenceOwner 1..1\"" Referrable\nReferrable <|-- VariableReference\nVariableReference  --> \""referencedVariable 1..1\"" Variable\nOperator <|-- MOVE\nMOVE  *--> \""newParent 1..1\"" Referrable\nMOVE  --> \""parentReference 1..1\"" EReference\nMOVE  *--> \""movee 1..1\"" Referrable\nOperator <|-- SPLIT\nSPLIT  *--> \""splitSets 1..*\"" StructuralFeatureSet\nSPLIT  *--> \""splitObject 1..1\"" Referrable\nStructuralFeatureSet  --> \""structuralFeatures 1..*\"" EStructuralFeature\nOperator <|-- MERGE\nMERGE  *--> \""mergeObjects 2..*\"" Referrable\nOperator <|-- VAR\nVAR  *--> \""variable 1..1\"" QueryVariable\nVariable <|-- QueryVariable\nQueryVariable  *--> \""queryObject 1..1\"" Referrable\nQueryVariable  --> \""queryResult 1..1\"" Result\nQueryVariable \""variable 1..1\"" *-- \""qualifier 1..1\"" QueryVariableQualifier\nQueryVariableQualifier <|-- EOperationQualifier\nEOperationQualifier  --> \""operation 1..1\"" EOperation\nQueryVariableQualifier <|-- EReferenceQualifier\nEReferenceQualifier  --> \""reference 1..1\"" EReference\n\n@enduml""
  },
  {
    ""role"": ""user"",
    ""content"": ""Code this constraint in OCL:\nIn the context of a MOVE operation, if the new parent is an instance of EObjectReference, it should contain exactly one element. If the new parent is a VariableReference pointing to a QueryVariable which results in an EObjectReference, then this EObjectReference should also contain exactly one element.\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""context MOVE \\ninv newParentConstraint: \\n\\n-- If `newParent` is an EObjectReference\\nif newParent.oclIsTypeOf(EObjectReference) then\\n    newParent.oclAsType(EObjectReference).elements->size() = 1\\n-- If `newParent` is a VariableReference pointing to a QueryVariable\\nelse if newParent.oclIsTypeOf(VariableReference) then\\n    let qryVar: QueryVariable = newParent.oclAsType(VariableReference).referencedVariable in\\n    -- Check if `queryResult` is an EObjectReference\\n    if qryVar.oclIsTypeOf(QueryVariable) and qryVar.queryResult.oclIsTypeOf(EObjectReference) then\\n        qryVar.queryResult.oclAsType(EObjectReference).elements->size() = 1\\n    else\\n        true -- Pass the constraint check if it doesn\u2019t match the conditions\\n    endif\\nelse\\n    true -- Pass the constraint check if it doesn\u2019t match the conditions\\nendif\""}""
  }
]","{""code"":""context MOVE \ninv newParentConstraint: \n\n-- If `newParent` is an EObjectReference\nif newParent.oclIsTypeOf(EObjectReference) then\n    newParent.oclAsType(EObjectReference).elements->size() = 1\n-- If `newParent` is a VariableReference pointing to a QueryVariable\nelse if newParent.oclIsTypeOf(VariableReference) then\n    let qryVar: QueryVariable = newParent.oclAsType(VariableReference).referencedVariable in\n    -- Check if `queryResult` is an EObjectReference\n    if qryVar.oclIsTypeOf(QueryVariable) and qryVar.queryResult.oclIsTypeOf(EObjectReference) then\n        qryVar.queryResult.oclAsType(EObjectReference).elements->size() = 1\n    else\n        true -- Pass the constraint check if it doesn’t match the conditions\n    endif\nelse\n    true -- Pass the constraint check if it doesn’t match the conditions\nendif""}",6,operators,gpt-4o,OCL
"context Client
inv: accounts->size() <= self.capacity",,"[
  {
    ""role"": ""user"",
    ""content"": ""Below is the domain model described in PlantUML::\n@startuml\nclass Bank {}\nclass Client {\nname : String\ncapacity : Int\n}\nclass Manager {\nname : String\n}\nclass Account {\ncredit : Double\noverdraft : Double\n}\nclass Card {\nnumber : Double\ntype : CardType\n}\nBank *--> \""managers 0..*\"" Manager\nBank  *--> \""accounts 0..*\"" Account\nBank  *--> \""clients 0..*\"" Client\nClient \""clients 0..*\"" -- \""manager 0..*\"" Manager\nClient \""owners 0..*\"" -- \""accounts 0..*\"" Account\nClient \""sponsorships 0..*\"" --> Client\nAccount  --> \""cards 0..*\"" Card\nenum CardType {\ncredit\ndebit\n}\n@enduml""
  },
  {
    ""role"": ""user"",
    ""content"": ""Code this constraint in OCL:\nEvery client can only have a number of accounts up to their specified capacity.\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""context Client\\ninv: accounts->size() <= self.capacity\""}""
  }
]","{""code"":""context Client\ninv: accounts->size() <= self.capacity""}",0,bank,gpt-4o,OCL
"{
    ""code"": ""context Client \ninv: self.accounts->size() >= 1""
}",,"[
  {
    ""role"": ""user"",
    ""content"": ""Below is the domain model described in PlantUML::\n@startuml\nclass Bank {}\nclass Client {\nname : String\ncapacity : Int\n}\nclass Manager {\nname : String\n}\nclass Account {\ncredit : Double\noverdraft : Double\n}\nclass Card {\nnumber : Double\ntype : CardType\n}\nBank *--> \""managers 0..*\"" Manager\nBank  *--> \""accounts 0..*\"" Account\nBank  *--> \""clients 0..*\"" Client\nClient \""clients 0..*\"" -- \""manager 0..*\"" Manager\nClient \""owners 0..*\"" -- \""accounts 0..*\"" Account\nClient \""sponsorships 0..*\"" --> Client\nAccount  --> \""cards 0..*\"" Card\nenum CardType {\ncredit\ndebit\n}\n@enduml""
  },
  {
    ""role"": ""user"",
    ""content"": ""Code this constraint in OCL:\nA client should have at least one account.\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""{\\n    \\\""code\\\"": \\\""context Client \\\\ninv: self.accounts->size() >= 1\\\""\\n}\""}""
  }
]","{""code"":""{\n    \""code\"": \""context Client \\ninv: self.accounts->size() >= 1\""\n}""}",1,bank,gpt-4o,OCL
"{
    ""code"": ""context Client inv: self.manager->notEmpty()""
}",,"[
  {
    ""role"": ""user"",
    ""content"": ""Below is the domain model described in PlantUML::\n@startuml\nclass Bank {}\nclass Client {\nname : String\ncapacity : Int\n}\nclass Manager {\nname : String\n}\nclass Account {\ncredit : Double\noverdraft : Double\n}\nclass Card {\nnumber : Double\ntype : CardType\n}\nBank *--> \""managers 0..*\"" Manager\nBank  *--> \""accounts 0..*\"" Account\nBank  *--> \""clients 0..*\"" Client\nClient \""clients 0..*\"" -- \""manager 0..*\"" Manager\nClient \""owners 0..*\"" -- \""accounts 0..*\"" Account\nClient \""sponsorships 0..*\"" --> Client\nAccount  --> \""cards 0..*\"" Card\nenum CardType {\ncredit\ndebit\n}\n@enduml""
  },
  {
    ""role"": ""user"",
    ""content"": ""Code this constraint in OCL:\nA client must have at least one manager.\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""{\\n    \\\""code\\\"": \\\""context Client inv: self.manager->notEmpty()\\\""\\n}\""}""
  }
]","{""code"":""{\n    \""code\"": \""context Client inv: self.manager->notEmpty()\""\n}""}",2,bank,gpt-4o,OCL
"context Account
inv creditBalanceNonNegative: self.credit >= 0.0",,"[
  {
    ""role"": ""user"",
    ""content"": ""Below is the domain model described in PlantUML::\n@startuml\nclass Bank {}\nclass Client {\nname : String\ncapacity : Int\n}\nclass Manager {\nname : String\n}\nclass Account {\ncredit : Double\noverdraft : Double\n}\nclass Card {\nnumber : Double\ntype : CardType\n}\nBank *--> \""managers 0..*\"" Manager\nBank  *--> \""accounts 0..*\"" Account\nBank  *--> \""clients 0..*\"" Client\nClient \""clients 0..*\"" -- \""manager 0..*\"" Manager\nClient \""owners 0..*\"" -- \""accounts 0..*\"" Account\nClient \""sponsorships 0..*\"" --> Client\nAccount  --> \""cards 0..*\"" Card\nenum CardType {\ncredit\ndebit\n}\n@enduml""
  },
  {
    ""role"": ""user"",
    ""content"": ""Code this constraint in OCL:\nNo account should have a credit balance less than zero.\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""context Account\\ninv creditBalanceNonNegative: self.credit >= 0.0\""}""
  }
]","{""code"":""context Account\ninv creditBalanceNonNegative: self.credit >= 0.0""}",3,bank,gpt-4o,OCL
"context RearEndCollision
inv: self.RoadTrafficAccident.crashedvehicle->size() = 2",,"[
  {
    ""role"": ""user"",
    ""content"": ""Below is the domain model described in PlantUML::\n@startuml\n\nclass CrashedVehicle {\n\n}\nclass DeceasedPerson {\n\n}\nclass Driver {\n\n}\nclass LivingPerson {\n\n}\nclass Passenger {\n\n}\nclass Person {\n\n}\nclass RearEndCollision {\n\n}\nclass RoadTrafficAccident {\nfatalvictims : EInt\n}\nclass Roadway {\n\n}\nclass RoadwayWithAccident {\n\n}\nclass Travel {\n\n}\nclass Traveler {\n\n}\nclass TravelingVehicle {\n\n}\nclass Vehicle {\n\n}\nclass Victim {\n\n}\nTravelingVehicle <|-- CrashedVehicle\nCrashedVehicle \""vehicles 1..*\"" -- \""accident 1..1\"" RoadTrafficAccident\nCrashedVehicle \""crashedvehicle 1..*\"" -- \""roadwaywithaccident 1..1\"" RoadwayWithAccident\nPerson <|-- DeceasedPerson\nTraveler <|-- Driver\nPerson <|-- LivingPerson\nTraveler <|-- Passenger\nRoadTrafficAccident <|-- RearEndCollision\nRoadTrafficAccident \""accident 1..1\"" -- \""victims 1..*\"" Victim\nRoadTrafficAccident \""roadtrafficaccident 1..*\"" -- \""roadwaywithaccident 1..1\"" RoadwayWithAccident\nRoadway <|-- RoadwayWithAccident\nTravel \""travel 1..1\"" -- \""travelers 1..*\"" Traveler\nTravel \""travel 1..1\"" -- \""vehicle 1..1\"" TravelingVehicle\nPerson <|-- Traveler\nVehicle <|-- TravelingVehicle\nTraveler <|-- Victim\n@enduml""
  },
  {
    ""role"": ""user"",
    ""content"": ""Code this constraint in OCL:\nA rear-end collision must involve exactly two vehicles.\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""context RearEndCollision\\ninv: self.RoadTrafficAccident.crashedvehicle->size() = 2\""}""
  }
]","{""code"":""context RearEndCollision\ninv: self.RoadTrafficAccident.crashedvehicle->size() = 2""}",0,roadTrafficAccident,gpt-4o,OCL
"context TravelingVehicle
inv: self.travel.travelers->select(traveler | traveler.oclIsKindOf(Driver))->size() = 1
",,"[
  {
    ""role"": ""user"",
    ""content"": ""Below is the domain model described in PlantUML::\n@startuml\n\nclass CrashedVehicle {\n\n}\nclass DeceasedPerson {\n\n}\nclass Driver {\n\n}\nclass LivingPerson {\n\n}\nclass Passenger {\n\n}\nclass Person {\n\n}\nclass RearEndCollision {\n\n}\nclass RoadTrafficAccident {\nfatalvictims : EInt\n}\nclass Roadway {\n\n}\nclass RoadwayWithAccident {\n\n}\nclass Travel {\n\n}\nclass Traveler {\n\n}\nclass TravelingVehicle {\n\n}\nclass Vehicle {\n\n}\nclass Victim {\n\n}\nTravelingVehicle <|-- CrashedVehicle\nCrashedVehicle \""vehicles 1..*\"" -- \""accident 1..1\"" RoadTrafficAccident\nCrashedVehicle \""crashedvehicle 1..*\"" -- \""roadwaywithaccident 1..1\"" RoadwayWithAccident\nPerson <|-- DeceasedPerson\nTraveler <|-- Driver\nPerson <|-- LivingPerson\nTraveler <|-- Passenger\nRoadTrafficAccident <|-- RearEndCollision\nRoadTrafficAccident \""accident 1..1\"" -- \""victims 1..*\"" Victim\nRoadTrafficAccident \""roadtrafficaccident 1..*\"" -- \""roadwaywithaccident 1..1\"" RoadwayWithAccident\nRoadway <|-- RoadwayWithAccident\nTravel \""travel 1..1\"" -- \""travelers 1..*\"" Traveler\nTravel \""travel 1..1\"" -- \""vehicle 1..1\"" TravelingVehicle\nPerson <|-- Traveler\nVehicle <|-- TravelingVehicle\nTraveler <|-- Victim\n@enduml""
  },
  {
    ""role"": ""user"",
    ""content"": ""Code this constraint in OCL:\nA traveling vehicle should have exactly one traveler who is a driver.\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""context TravelingVehicle\\ninv: self.travel.travelers->select(traveler | traveler.oclIsKindOf(Driver))->size() = 1\\n\""}""
  }
]","{""code"":""context TravelingVehicle\ninv: self.travel.travelers->select(traveler | traveler.oclIsKindOf(Driver))->size() = 1\n""}",1,roadTrafficAccident,gpt-4o,OCL
"context RoadTrafficAccident 
inv ExactlyOneVehicle: 
    self.vehicles->size() = 1",,"[
  {
    ""role"": ""user"",
    ""content"": ""Below is the domain model described in PlantUML::\n@startuml\n\nclass CrashedVehicle {\n\n}\nclass DeceasedPerson {\n\n}\nclass Driver {\n\n}\nclass LivingPerson {\n\n}\nclass Passenger {\n\n}\nclass Person {\n\n}\nclass RearEndCollision {\n\n}\nclass RoadTrafficAccident {\nfatalvictims : EInt\n}\nclass Roadway {\n\n}\nclass RoadwayWithAccident {\n\n}\nclass Travel {\n\n}\nclass Traveler {\n\n}\nclass TravelingVehicle {\n\n}\nclass Vehicle {\n\n}\nclass Victim {\n\n}\nTravelingVehicle <|-- CrashedVehicle\nCrashedVehicle \""vehicles 1..*\"" -- \""accident 1..1\"" RoadTrafficAccident\nCrashedVehicle \""crashedvehicle 1..*\"" -- \""roadwaywithaccident 1..1\"" RoadwayWithAccident\nPerson <|-- DeceasedPerson\nTraveler <|-- Driver\nPerson <|-- LivingPerson\nTraveler <|-- Passenger\nRoadTrafficAccident <|-- RearEndCollision\nRoadTrafficAccident \""accident 1..1\"" -- \""victims 1..*\"" Victim\nRoadTrafficAccident \""roadtrafficaccident 1..*\"" -- \""roadwaywithaccident 1..1\"" RoadwayWithAccident\nRoadway <|-- RoadwayWithAccident\nTravel \""travel 1..1\"" -- \""travelers 1..*\"" Traveler\nTravel \""travel 1..1\"" -- \""vehicle 1..1\"" TravelingVehicle\nPerson <|-- Traveler\nVehicle <|-- TravelingVehicle\nTraveler <|-- Victim\n@enduml""
  },
  {
    ""role"": ""user"",
    ""content"": ""Code this constraint in OCL:\nA road traffic accident should involve exactly one vehicle.\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""context RoadTrafficAccident \\ninv ExactlyOneVehicle: \\n    self.vehicles->size() = 1\""}""
  }
]","{""code"":""context RoadTrafficAccident \ninv ExactlyOneVehicle: \n    self.vehicles->size() = 1""}",2,roadTrafficAccident,gpt-4o,OCL
"context CrashedVehicle 
inv allTravelersAreVictims:
  self.travelers->forAll(traveler |
    self.roadtrafficaccident.victims->includes(traveler)
  )",,"[
  {
    ""role"": ""user"",
    ""content"": ""Below is the domain model described in PlantUML::\n@startuml\n\nclass CrashedVehicle {\n\n}\nclass DeceasedPerson {\n\n}\nclass Driver {\n\n}\nclass LivingPerson {\n\n}\nclass Passenger {\n\n}\nclass Person {\n\n}\nclass RearEndCollision {\n\n}\nclass RoadTrafficAccident {\nfatalvictims : EInt\n}\nclass Roadway {\n\n}\nclass RoadwayWithAccident {\n\n}\nclass Travel {\n\n}\nclass Traveler {\n\n}\nclass TravelingVehicle {\n\n}\nclass Vehicle {\n\n}\nclass Victim {\n\n}\nTravelingVehicle <|-- CrashedVehicle\nCrashedVehicle \""vehicles 1..*\"" -- \""accident 1..1\"" RoadTrafficAccident\nCrashedVehicle \""crashedvehicle 1..*\"" -- \""roadwaywithaccident 1..1\"" RoadwayWithAccident\nPerson <|-- DeceasedPerson\nTraveler <|-- Driver\nPerson <|-- LivingPerson\nTraveler <|-- Passenger\nRoadTrafficAccident <|-- RearEndCollision\nRoadTrafficAccident \""accident 1..1\"" -- \""victims 1..*\"" Victim\nRoadTrafficAccident \""roadtrafficaccident 1..*\"" -- \""roadwaywithaccident 1..1\"" RoadwayWithAccident\nRoadway <|-- RoadwayWithAccident\nTravel \""travel 1..1\"" -- \""travelers 1..*\"" Traveler\nTravel \""travel 1..1\"" -- \""vehicle 1..1\"" TravelingVehicle\nPerson <|-- Traveler\nVehicle <|-- TravelingVehicle\nTraveler <|-- Victim\n@enduml""
  },
  {
    ""role"": ""user"",
    ""content"": ""Code this constraint in OCL:\nFor all travelers in a crashed vehicle, each traveler must be a victim of the accident associated with that vehicle.\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""context CrashedVehicle \\ninv allTravelersAreVictims:\\n  self.travelers->forAll(traveler |\\n    self.roadtrafficaccident.victims->includes(traveler)\\n  )\""}""
  }
]","{""code"":""context CrashedVehicle \ninv allTravelersAreVictims:\n  self.travelers->forAll(traveler |\n    self.roadtrafficaccident.victims->includes(traveler)\n  )""}",3,roadTrafficAccident,gpt-4o,OCL
"context Company 
inv company_must_ensure_members_are_employees: self.projects->forAll(p | p.workers->forAll(w | self.employees->includes(w)))",,"[
  {
    ""role"": ""user"",
    ""content"": ""Below is the domain model described in PlantUML::\n@startuml\nenum ProjectSize{\nsmall\nmedium\nbig\n}\nenum ProjectStatus{\nplanned\nactive\nfinished\nsuspended\n}\nclass Company {\nname : EString\n}\nclass Worker {\nnickname : EString\nsalary : EInt\n}\nclass Project {\nname : EString\nsize : ProjectSize\nstatus : ProjectStatus\n}\nclass Qualification {\ndescription : EString\n}\nclass Training {\n\n}\nCompany \""company 1..1\"" -- \""projects 0..*\"" Project\nCompany \""employer 0..1\"" -- \""employees 1..*\"" Worker\nWorker \""workers 0..*\"" -- \""qualifications 1..*\"" Qualification\nWorker \""members 0..*\"" -- \""projects 0..*\"" Project\nProject \""projects 0..*\"" -- \""requirements 1..*\"" Qualification\nProject \""predecessors 0..*\"" -- \""successors 0..*\"" Project\nQualification \""trained 1..*\"" -- \""trainings 0..1\"" Training\nProject <|-- Training\n@enduml""
  },
  {
    ""role"": ""user"",
    ""content"": ""Code this constraint in OCL:\nA company must ensure that all members of its projects are its employees.\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""context Company \\ninv company_must_ensure_members_are_employees: self.projects->forAll(p | p.workers->forAll(w | self.employees->includes(w)))\""}""
  }
]","{""code"":""context Company \ninv company_must_ensure_members_are_employees: self.projects->forAll(p | p.workers->forAll(w | self.employees->includes(w)))""}",0,projects,gpt-4o,OCL
