code,cprompt,crawresp,db_id,question,model,error
SELECT COUNT(D.document_id) FROM documents D JOIN templates T ON D.template_id = T.template_id WHERE T.template_type_code = 'PPT',"[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: reference template types\n  - template_type_code (text)\n  - template_type_description (text)\n\nTable: templates\n  - template_id (number)\n  - version_number (number)\n  - template_type_code (text)\n  - date_effective_from (time)\n  - date_effective_to (time)\n  - template_details (text)\n\nTable: documents\n  - document_id (number)\n  - template_id (number)\n  - document_name (text)\n  - document_description (text)\n  - other_details (text)\n\nTable: paragraphs\n  - paragraph_id (number)\n  - document_id (number)\n  - paragraph_text (text)\n  - other_details (text)\n\nForeign Keys:\n  - reference template types.template_type_code -> templates.template_type_code\n  - templates.template_id -> documents.template_id\n  - documents.document_id -> paragraphs.document_id\n\n\nCreate a SQL statement in response that replies to the following question:\nHow many documents are using the template with type code 'PPT'?\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""SELECT COUNT(D.document_id) FROM documents D JOIN templates T ON D.template_id = T.template_id WHERE T.template_type_code = 'PPT'\""\n}""
  }
]","{
    ""code"": ""SELECT COUNT(D.document_id) FROM documents D JOIN templates T ON D.template_id = T.template_id WHERE T.template_type_code = 'PPT'""
}",cre_Doc_Template_Mgt,How many documents are using the template with type code 'PPT'?,Llama-3.3-70B-Instruct,
SELECT COUNT(d.document_id) AS count FROM documents d JOIN templates t ON d.template_id = t.template_id WHERE t.template_type_code = 'PPT',"[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: reference template types\n  - template_type_code (text)\n  - template_type_description (text)\n\nTable: templates\n  - template_id (number)\n  - version_number (number)\n  - template_type_code (text)\n  - date_effective_from (time)\n  - date_effective_to (time)\n  - template_details (text)\n\nTable: documents\n  - document_id (number)\n  - template_id (number)\n  - document_name (text)\n  - document_description (text)\n  - other_details (text)\n\nTable: paragraphs\n  - paragraph_id (number)\n  - document_id (number)\n  - paragraph_text (text)\n  - other_details (text)\n\nForeign Keys:\n  - reference template types.template_type_code -> templates.template_type_code\n  - templates.template_id -> documents.template_id\n  - documents.document_id -> paragraphs.document_id\n\n\nCreate a SQL statement in response that replies to the following question:\nCount the number of documents that use the PPT template type.\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""SELECT COUNT(d.document_id) AS count FROM documents d JOIN templates t ON d.template_id = t.template_id WHERE t.template_type_code = 'PPT'\""\n}""
  }
]","{
    ""code"": ""SELECT COUNT(d.document_id) AS count FROM documents d JOIN templates t ON d.template_id = t.template_id WHERE t.template_type_code = 'PPT'""
}",cre_Doc_Template_Mgt,Count the number of documents that use the PPT template type.,Llama-3.3-70B-Instruct,
"SELECT t.template_id, COUNT(d.document_id) AS number_of_documents FROM templates t LEFT JOIN documents d ON t.template_id = d.template_id GROUP BY t.template_id","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: reference template types\n  - template_type_code (text)\n  - template_type_description (text)\n\nTable: templates\n  - template_id (number)\n  - version_number (number)\n  - template_type_code (text)\n  - date_effective_from (time)\n  - date_effective_to (time)\n  - template_details (text)\n\nTable: documents\n  - document_id (number)\n  - template_id (number)\n  - document_name (text)\n  - document_description (text)\n  - other_details (text)\n\nTable: paragraphs\n  - paragraph_id (number)\n  - document_id (number)\n  - paragraph_text (text)\n  - other_details (text)\n\nForeign Keys:\n  - reference template types.template_type_code -> templates.template_type_code\n  - templates.template_id -> documents.template_id\n  - documents.document_id -> paragraphs.document_id\n\n\nCreate a SQL statement in response that replies to the following question:\nShow all template ids and number of documents using each template.\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""SELECT t.template_id, COUNT(d.document_id) AS number_of_documents FROM templates t LEFT JOIN documents d ON t.template_id = d.template_id GROUP BY t.template_id\""\n}""
  }
]","{
    ""code"": ""SELECT t.template_id, COUNT(d.document_id) AS number_of_documents FROM templates t LEFT JOIN documents d ON t.template_id = d.template_id GROUP BY t.template_id""
}",cre_Doc_Template_Mgt,Show all template ids and number of documents using each template.,Llama-3.3-70B-Instruct,
"SELECT template_id, COUNT(document_id) as usage_count FROM documents GROUP BY template_id","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: reference template types\n  - template_type_code (text)\n  - template_type_description (text)\n\nTable: templates\n  - template_id (number)\n  - version_number (number)\n  - template_type_code (text)\n  - date_effective_from (time)\n  - date_effective_to (time)\n  - template_details (text)\n\nTable: documents\n  - document_id (number)\n  - template_id (number)\n  - document_name (text)\n  - document_description (text)\n  - other_details (text)\n\nTable: paragraphs\n  - paragraph_id (number)\n  - document_id (number)\n  - paragraph_text (text)\n  - other_details (text)\n\nForeign Keys:\n  - reference template types.template_type_code -> templates.template_type_code\n  - templates.template_id -> documents.template_id\n  - documents.document_id -> paragraphs.document_id\n\n\nCreate a SQL statement in response that replies to the following question:\nWhat are all different template ids used for documents, and how many times were each of them used?\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""SELECT template_id, COUNT(document_id) as usage_count FROM documents GROUP BY template_id\""\n}""
  }
]","{
    ""code"": ""SELECT template_id, COUNT(document_id) as usage_count FROM documents GROUP BY template_id""
}",cre_Doc_Template_Mgt,"What are all different template ids used for documents, and how many times were each of them used?",Llama-3.3-70B-Instruct,
"SELECT t.template_id, t.template_type_code FROM templates t JOIN documents d ON t.template_id = d.template_id GROUP BY t.template_id, t.template_type_code ORDER BY COUNT(d.document_id) DESC LIMIT 1","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: reference template types\n  - template_type_code (text)\n  - template_type_description (text)\n\nTable: templates\n  - template_id (number)\n  - version_number (number)\n  - template_type_code (text)\n  - date_effective_from (time)\n  - date_effective_to (time)\n  - template_details (text)\n\nTable: documents\n  - document_id (number)\n  - template_id (number)\n  - document_name (text)\n  - document_description (text)\n  - other_details (text)\n\nTable: paragraphs\n  - paragraph_id (number)\n  - document_id (number)\n  - paragraph_text (text)\n  - other_details (text)\n\nForeign Keys:\n  - reference template types.template_type_code -> templates.template_type_code\n  - templates.template_id -> documents.template_id\n  - documents.document_id -> paragraphs.document_id\n\n\nCreate a SQL statement in response that replies to the following question:\nWhat is the id and type code for the template used by the most documents?\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""SELECT t.template_id, t.template_type_code FROM templates t JOIN documents d ON t.template_id = d.template_id GROUP BY t.template_id, t.template_type_code ORDER BY COUNT(d.document_id) DESC LIMIT 1\""\n}""
  }
]","{
    ""code"": ""SELECT t.template_id, t.template_type_code FROM templates t JOIN documents d ON t.template_id = d.template_id GROUP BY t.template_id, t.template_type_code ORDER BY COUNT(d.document_id) DESC LIMIT 1""
}",cre_Doc_Template_Mgt,What is the id and type code for the template used by the most documents?,Llama-3.3-70B-Instruct,
"SELECT t.template_id, t.template_type_code FROM templates t JOIN documents d ON t.template_id = d.template_id GROUP BY t.template_id, t.template_type_code ORDER BY COUNT(d.document_id) DESC LIMIT 1","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: reference template types\n  - template_type_code (text)\n  - template_type_description (text)\n\nTable: templates\n  - template_id (number)\n  - version_number (number)\n  - template_type_code (text)\n  - date_effective_from (time)\n  - date_effective_to (time)\n  - template_details (text)\n\nTable: documents\n  - document_id (number)\n  - template_id (number)\n  - document_name (text)\n  - document_description (text)\n  - other_details (text)\n\nTable: paragraphs\n  - paragraph_id (number)\n  - document_id (number)\n  - paragraph_text (text)\n  - other_details (text)\n\nForeign Keys:\n  - reference template types.template_type_code -> templates.template_type_code\n  - templates.template_id -> documents.template_id\n  - documents.document_id -> paragraphs.document_id\n\n\nCreate a SQL statement in response that replies to the following question:\nReturn the id and type code of the template that is used for the greatest number of documents.\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""SELECT t.template_id, t.template_type_code FROM templates t JOIN documents d ON t.template_id = d.template_id GROUP BY t.template_id, t.template_type_code ORDER BY COUNT(d.document_id) DESC LIMIT 1\""\n}""
  }
]","{
    ""code"": ""SELECT t.template_id, t.template_type_code FROM templates t JOIN documents d ON t.template_id = d.template_id GROUP BY t.template_id, t.template_type_code ORDER BY COUNT(d.document_id) DESC LIMIT 1""
}",cre_Doc_Template_Mgt,Return the id and type code of the template that is used for the greatest number of documents.,Llama-3.3-70B-Instruct,
SELECT template_id FROM documents GROUP BY template_id HAVING COUNT(document_id) > 1,"[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: reference template types\n  - template_type_code (text)\n  - template_type_description (text)\n\nTable: templates\n  - template_id (number)\n  - version_number (number)\n  - template_type_code (text)\n  - date_effective_from (time)\n  - date_effective_to (time)\n  - template_details (text)\n\nTable: documents\n  - document_id (number)\n  - template_id (number)\n  - document_name (text)\n  - document_description (text)\n  - other_details (text)\n\nTable: paragraphs\n  - paragraph_id (number)\n  - document_id (number)\n  - paragraph_text (text)\n  - other_details (text)\n\nForeign Keys:\n  - reference template types.template_type_code -> templates.template_type_code\n  - templates.template_id -> documents.template_id\n  - documents.document_id -> paragraphs.document_id\n\n\nCreate a SQL statement in response that replies to the following question:\nShow ids for all templates that are used by more than one document.\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""SELECT template_id FROM documents GROUP BY template_id HAVING COUNT(document_id) > 1\""\n}""
  }
]","{
    ""code"": ""SELECT template_id FROM documents GROUP BY template_id HAVING COUNT(document_id) > 1""
}",cre_Doc_Template_Mgt,Show ids for all templates that are used by more than one document.,Llama-3.3-70B-Instruct,
SELECT template_id FROM documents GROUP BY template_id HAVING COUNT(document_id) > 1,"[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: reference template types\n  - template_type_code (text)\n  - template_type_description (text)\n\nTable: templates\n  - template_id (number)\n  - version_number (number)\n  - template_type_code (text)\n  - date_effective_from (time)\n  - date_effective_to (time)\n  - template_details (text)\n\nTable: documents\n  - document_id (number)\n  - template_id (number)\n  - document_name (text)\n  - document_description (text)\n  - other_details (text)\n\nTable: paragraphs\n  - paragraph_id (number)\n  - document_id (number)\n  - paragraph_text (text)\n  - other_details (text)\n\nForeign Keys:\n  - reference template types.template_type_code -> templates.template_type_code\n  - templates.template_id -> documents.template_id\n  - documents.document_id -> paragraphs.document_id\n\n\nCreate a SQL statement in response that replies to the following question:\nWhat are the template ids of any templates used in more than a single document?\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""SELECT template_id FROM documents GROUP BY template_id HAVING COUNT(document_id) > 1\""\n}""
  }
]","{
    ""code"": ""SELECT template_id FROM documents GROUP BY template_id HAVING COUNT(document_id) > 1""
}",cre_Doc_Template_Mgt,What are the template ids of any templates used in more than a single document?,Llama-3.3-70B-Instruct,
SELECT template_id FROM templates WHERE template_id NOT IN (SELECT template_id FROM documents),"[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: reference template types\n  - template_type_code (text)\n  - template_type_description (text)\n\nTable: templates\n  - template_id (number)\n  - version_number (number)\n  - template_type_code (text)\n  - date_effective_from (time)\n  - date_effective_to (time)\n  - template_details (text)\n\nTable: documents\n  - document_id (number)\n  - template_id (number)\n  - document_name (text)\n  - document_description (text)\n  - other_details (text)\n\nTable: paragraphs\n  - paragraph_id (number)\n  - document_id (number)\n  - paragraph_text (text)\n  - other_details (text)\n\nForeign Keys:\n  - reference template types.template_type_code -> templates.template_type_code\n  - templates.template_id -> documents.template_id\n  - documents.document_id -> paragraphs.document_id\n\n\nCreate a SQL statement in response that replies to the following question:\nShow ids for all templates not used by any document.\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""SELECT template_id FROM templates WHERE template_id NOT IN (SELECT template_id FROM documents)\""\n}""
  }
]","{
    ""code"": ""SELECT template_id FROM templates WHERE template_id NOT IN (SELECT template_id FROM documents)""
}",cre_Doc_Template_Mgt,Show ids for all templates not used by any document.,Llama-3.3-70B-Instruct,
SELECT template_id FROM templates WHERE template_id NOT IN (SELECT template_id FROM documents),"[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: reference template types\n  - template_type_code (text)\n  - template_type_description (text)\n\nTable: templates\n  - template_id (number)\n  - version_number (number)\n  - template_type_code (text)\n  - date_effective_from (time)\n  - date_effective_to (time)\n  - template_details (text)\n\nTable: documents\n  - document_id (number)\n  - template_id (number)\n  - document_name (text)\n  - document_description (text)\n  - other_details (text)\n\nTable: paragraphs\n  - paragraph_id (number)\n  - document_id (number)\n  - paragraph_text (text)\n  - other_details (text)\n\nForeign Keys:\n  - reference template types.template_type_code -> templates.template_type_code\n  - templates.template_id -> documents.template_id\n  - documents.document_id -> paragraphs.document_id\n\n\nCreate a SQL statement in response that replies to the following question:\nWhat are the ids for templates that are not used in any documents?\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""SELECT template_id FROM templates WHERE template_id NOT IN (SELECT template_id FROM documents)\""\n}""
  }
]","{
    ""code"": ""SELECT template_id FROM templates WHERE template_id NOT IN (SELECT template_id FROM documents)""
}",cre_Doc_Template_Mgt,What are the ids for templates that are not used in any documents?,Llama-3.3-70B-Instruct,
SELECT COUNT(template_id) AS number_of_templates FROM templates,"[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: reference template types\n  - template_type_code (text)\n  - template_type_description (text)\n\nTable: templates\n  - template_id (number)\n  - version_number (number)\n  - template_type_code (text)\n  - date_effective_from (time)\n  - date_effective_to (time)\n  - template_details (text)\n\nTable: documents\n  - document_id (number)\n  - template_id (number)\n  - document_name (text)\n  - document_description (text)\n  - other_details (text)\n\nTable: paragraphs\n  - paragraph_id (number)\n  - document_id (number)\n  - paragraph_text (text)\n  - other_details (text)\n\nForeign Keys:\n  - reference template types.template_type_code -> templates.template_type_code\n  - templates.template_id -> documents.template_id\n  - documents.document_id -> paragraphs.document_id\n\n\nCreate a SQL statement in response that replies to the following question:\nHow many templates do we have?\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""SELECT COUNT(template_id) AS number_of_templates FROM templates\""\n}""
  }
]","{
    ""code"": ""SELECT COUNT(template_id) AS number_of_templates FROM templates""
}",cre_Doc_Template_Mgt,How many templates do we have?,Llama-3.3-70B-Instruct,
SELECT COUNT(template_id) AS number_of_templates FROM templates,"[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: reference template types\n  - template_type_code (text)\n  - template_type_description (text)\n\nTable: templates\n  - template_id (number)\n  - version_number (number)\n  - template_type_code (text)\n  - date_effective_from (time)\n  - date_effective_to (time)\n  - template_details (text)\n\nTable: documents\n  - document_id (number)\n  - template_id (number)\n  - document_name (text)\n  - document_description (text)\n  - other_details (text)\n\nTable: paragraphs\n  - paragraph_id (number)\n  - document_id (number)\n  - paragraph_text (text)\n  - other_details (text)\n\nForeign Keys:\n  - reference template types.template_type_code -> templates.template_type_code\n  - templates.template_id -> documents.template_id\n  - documents.document_id -> paragraphs.document_id\n\n\nCreate a SQL statement in response that replies to the following question:\nCount the number of templates.\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""SELECT COUNT(template_id) AS number_of_templates FROM templates\""\n}""
  }
]","{
    ""code"": ""SELECT COUNT(template_id) AS number_of_templates FROM templates""
}",cre_Doc_Template_Mgt,Count the number of templates.,Llama-3.3-70B-Instruct,
"SELECT template_id, version_number, template_type_code FROM templates;","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: reference template types\n  - template_type_code (text)\n  - template_type_description (text)\n\nTable: templates\n  - template_id (number)\n  - version_number (number)\n  - template_type_code (text)\n  - date_effective_from (time)\n  - date_effective_to (time)\n  - template_details (text)\n\nTable: documents\n  - document_id (number)\n  - template_id (number)\n  - document_name (text)\n  - document_description (text)\n  - other_details (text)\n\nTable: paragraphs\n  - paragraph_id (number)\n  - document_id (number)\n  - paragraph_text (text)\n  - other_details (text)\n\nForeign Keys:\n  - reference template types.template_type_code -> templates.template_type_code\n  - templates.template_id -> documents.template_id\n  - documents.document_id -> paragraphs.document_id\n\n\nCreate a SQL statement in response that replies to the following question:\nShow template ids, version numbers, and template type codes for all templates.\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""SELECT template_id, version_number, template_type_code FROM templates;\""\n}""
  }
]","{
    ""code"": ""SELECT template_id, version_number, template_type_code FROM templates;""
}",cre_Doc_Template_Mgt,"Show template ids, version numbers, and template type codes for all templates.",Llama-3.3-70B-Instruct,
"SELECT template_id, version_number, template_type_code FROM templates","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: reference template types\n  - template_type_code (text)\n  - template_type_description (text)\n\nTable: templates\n  - template_id (number)\n  - version_number (number)\n  - template_type_code (text)\n  - date_effective_from (time)\n  - date_effective_to (time)\n  - template_details (text)\n\nTable: documents\n  - document_id (number)\n  - template_id (number)\n  - document_name (text)\n  - document_description (text)\n  - other_details (text)\n\nTable: paragraphs\n  - paragraph_id (number)\n  - document_id (number)\n  - paragraph_text (text)\n  - other_details (text)\n\nForeign Keys:\n  - reference template types.template_type_code -> templates.template_type_code\n  - templates.template_id -> documents.template_id\n  - documents.document_id -> paragraphs.document_id\n\n\nCreate a SQL statement in response that replies to the following question:\nWhat are the ids, version numbers, and type codes for each template?\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""SELECT template_id, version_number, template_type_code FROM templates\""\n}""
  }
]","{
    ""code"": ""SELECT template_id, version_number, template_type_code FROM templates""
}",cre_Doc_Template_Mgt,"What are the ids, version numbers, and type codes for each template?",Llama-3.3-70B-Instruct,
SELECT DISTINCT template_type_code FROM templates,"[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: reference template types\n  - template_type_code (text)\n  - template_type_description (text)\n\nTable: templates\n  - template_id (number)\n  - version_number (number)\n  - template_type_code (text)\n  - date_effective_from (time)\n  - date_effective_to (time)\n  - template_details (text)\n\nTable: documents\n  - document_id (number)\n  - template_id (number)\n  - document_name (text)\n  - document_description (text)\n  - other_details (text)\n\nTable: paragraphs\n  - paragraph_id (number)\n  - document_id (number)\n  - paragraph_text (text)\n  - other_details (text)\n\nForeign Keys:\n  - reference template types.template_type_code -> templates.template_type_code\n  - templates.template_id -> documents.template_id\n  - documents.document_id -> paragraphs.document_id\n\n\nCreate a SQL statement in response that replies to the following question:\nShow all distinct template type codes for all templates.\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""SELECT DISTINCT template_type_code FROM templates\""\n}""
  }
]","{
    ""code"": ""SELECT DISTINCT template_type_code FROM templates""
}",cre_Doc_Template_Mgt,Show all distinct template type codes for all templates.,Llama-3.3-70B-Instruct,
SELECT DISTINCT template_type_code FROM reference_template_types,"[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: reference template types\n  - template_type_code (text)\n  - template_type_description (text)\n\nTable: templates\n  - template_id (number)\n  - version_number (number)\n  - template_type_code (text)\n  - date_effective_from (time)\n  - date_effective_to (time)\n  - template_details (text)\n\nTable: documents\n  - document_id (number)\n  - template_id (number)\n  - document_name (text)\n  - document_description (text)\n  - other_details (text)\n\nTable: paragraphs\n  - paragraph_id (number)\n  - document_id (number)\n  - paragraph_text (text)\n  - other_details (text)\n\nForeign Keys:\n  - reference template types.template_type_code -> templates.template_type_code\n  - templates.template_id -> documents.template_id\n  - documents.document_id -> paragraphs.document_id\n\n\nCreate a SQL statement in response that replies to the following question:\nWhat are the different template type codes?\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""SELECT DISTINCT template_type_code FROM reference_template_types\""\n}""
  }
]","{
    ""code"": ""SELECT DISTINCT template_type_code FROM reference_template_types""
}",cre_Doc_Template_Mgt,What are the different template type codes?,Llama-3.3-70B-Instruct,
